transaction_id,user_id,transaction_date,amount,payment_method,device,payment_status,failure_reason,retry_count,recovered_flag
1,1860,2024-05-24,1324.34,Debit Card,iOS,success,,0,0
2,4772,2024-04-04,2237.72,Credit Card,iOS,success,,0,0
3,4092,2024-02-02,3190.09,Debit Card,Web,success,,0,0
4,1466,2024-02-25,940.45,Credit Card,Android,failed,network_error,0,0
5,5426,2024-05-04,3846.3,Credit Card,Web,success,,0,0
6,4444,2024-02-17,1885.58,Net Banking,Android,success,,0,0
7,4171,2024-04-03,4105.43,Wallet,Android,success,,0,0
8,3919,2024-06-12,580.05,Wallet,iOS,success,,0,0
9,1130,2024-05-18,3430.81,Credit Card,Android,success,,0,0
10,2685,2024-05-12,1537.31,Net Banking,Android,success,,0,0
11,1769,2024-05-09,3997.38,UPI,Web,failed,network_error,0,0
12,3391,2024-02-03,2070.64,Net Banking,Android,success,,0,0
13,3433,2024-06-19,3360.21,Net Banking,Web,success,,0,0
14,2184,2024-03-07,4678.1,Wallet,iOS,success,,0,0
15,5555,2024-06-12,201.07,Credit Card,Web,failed,insufficient_funds,0,0
16,4385,2024-02-07,154.47,UPI,Web,success,,0,0
17,5117,2024-05-19,3874.37,UPI,iOS,success,,0,0
18,5843,2024-05-26,3267.33,Credit Card,iOS,success,,0,0
19,3904,2024-05-26,1535.6,Debit Card,Web,success,,0,0
20,1474,2024-05-14,2522.54,Credit Card,iOS,success,,0,0
21,2082,2024-05-08,305.48,Wallet,Android,success,,0,0
22,3558,2024-06-28,1042.98,Net Banking,Web,success,,0,0
23,3047,2024-06-25,2180.03,UPI,Android,success,,0,0
24,3747,2024-05-31,4186.82,Debit Card,Android,failed,timeout,2,1
25,1975,2024-03-14,2450.37,Credit Card,iOS,failed,timeout,2,1
26,2806,2024-05-21,2973.18,UPI,Android,failed,insufficient_funds,2,1
27,1189,2024-06-14,4381.39,Credit Card,Android,success,,0,0
28,3734,2024-01-16,1613.21,Debit Card,iOS,success,,0,0
29,4005,2024-01-06,3533.43,Net Banking,Android,success,,0,0
30,5658,2024-06-01,4322.17,UPI,iOS,success,,0,0
31,2899,2024-04-21,1092.82,UPI,iOS,success,,0,0
32,2267,2024-04-30,1846.74,Credit Card,Android,success,,0,0
33,2528,2024-06-27,4901.07,Credit Card,Web,success,,0,0
34,4202,2024-06-27,4917.77,UPI,Web,success,,0,0
35,4556,2024-02-16,1193.83,Credit Card,iOS,failed,network_error,1,0
36,4890,2024-04-12,425.58,Debit Card,iOS,success,,0,0
37,1646,2024-06-27,1427.52,Debit Card,Web,success,,0,0
38,3888,2024-03-10,2048.89,Debit Card,Android,success,,0,0
39,3435,2024-02-01,2260.93,Debit Card,iOS,failed,bank_decline,0,0
40,1600,2024-06-21,3132.15,Debit Card,iOS,success,,0,0
41,3363,2024-04-14,4507.56,Debit Card,Android,failed,network_error,2,1
42,3061,2024-02-22,1718.71,Credit Card,Web,success,,0,0
43,1241,2024-04-22,4264.92,Credit Card,Android,failed,insufficient_funds,3,0
